1,,,,,,,,,,,,,,,,,
03390562,"Geysers Power Company, LLC",CA-958          ,35B-35,ACTV,DST,CALP ,1987,Lake                ,033,GEYSR,F,,,35,11N,8W,MD
03390613,Union Oil Company of California Geothermal Division                                                 ,BG              ,72-4  ,ABDN,TG ,UNION,1972,Lake                ,033,GEYSR,P,,,9,11N,8W,MD
03390614,Union Oil Company of California Geothermal Division                                                 ,BG              ,72-5  ,ABDN,TG ,UNION,1972,Lake                ,033,GEYSR,P,,,36,12N,9W,MD
03390615,Union Oil Company of California Geothermal Division                                                 ,BG              ,72-6  ,ABDN,TG ,UNION,1972,Lake                ,033,GEYSR,P,,,6,11N,8W,MD
03390616,Union Oil Company of California Geothermal Division                                                 ,BG              ,72-7  ,ABDN,TG ,UNION,1972,Lake                ,033,GEYSR,P,,,30,12N,8W,MD
03390635,"Geysers Power Company, LLC",CA-5636         ,74D-21,ACTV,DST,CALP ,1987,Lake                ,033,GEYSR,F,,,21,11N,8W,MD
03390675,Santa Rosa Geothermal Co.                                                                           ,CRS             ,3A    ,ABDN,TG ,SRGC ,1973,Lake                ,033,GEYSR,P,,,26,11N,8W,MD
03390676,Santa Rosa Geothermal Co.                                                                           ,CRS             ,4     ,ABDN,TG ,SRGC ,1973,Lake                ,033,GEYSR,P,,,27,11N,8W,MD
03390677,Northern California Power Agency                                                                    ,CA-949          ,22C-1 ,ACTV,DST,NCPA ,1987,Lake                ,033,GEYSR,F,,,1,10N,8W,MD
03390678,"Geysers Power Company, LLC",Davies Estate   ,5     ,IDLE,DST,CALP ,1987,Lake                ,033,GEYSR,P,,,36,11N,8W,MD
03390679,"Geysers Power Company, LLC",McKinley        ,13    ,ACTV,DST,CALP ,1987,Lake                ,033,GEYSR,P,,,35,11N,8W,MD
03390680,"Geysers Power Company, LLC",GD Horner State ,7     ,ACTV,DST,CALP ,1987,Lake                ,033,GEYSR,S,,,5,11N,8W,MD
03390684,"Geysers Power Company, LLC",Davies Estate   ,6     ,ACTV,DST,CALP ,1987,Lake                ,033,GEYSR,P,,,36,11N,8W,MD
03390685,"Geysers Power Company, LLC",Thorne          ,10    ,ACTV,DST,CALP ,1988,Lake                ,033,GEYSR,P,,,26,11N,8W,MD
03390686,"Geysers Power Company, LLC",GD Horner State ,8     ,ACTV,DST,CALP ,1987,Lake                ,033,GEYSR,S,,,5,11N,8W,MD
03390687,Northern California Power Agency                                                                    ,CA-949          ,22D-1 ,ACTV,DST,NCPA ,1987,Lake                ,033,GEYSR,F,,,1,10N,8W,MD
03390688,"Geysers Power Company, LLC",Davies Estate   ,7     ,ACTV,DST,CALP ,1988,Lake                ,033,GEYSR,P,,,36,11N,8W,MD
03390689,"Geysers Power Company, LLC",MLM             ,7     ,ACTV,DST,CALP ,1988,Lake                ,033,GEYSR,P,,,26,11N,8W,MD
03390690,Northern California Power Agency                                                                    ,CA-949          ,22E-1 ,ACTV,DST,NCPA ,1988,Lake                ,033,GEYSR,F,,,1,10N,8W,MD
03390691,"Geysers Power Company, LLC",McKinley        ,15    ,ACTV,DST,CALP ,1988,Lake                ,033,GEYSR,P,,,35,11N,8W,MD
03390692,"Geysers Power Company, LLC",G               ,28    ,ABDN,TG ,CALP ,1988,Lake                ,033,GEYSR,P,,,27,11N,8W,MD
03390693,"Geysers Power Company, LLC",G               ,30    ,ABDN,TG ,CALP ,1988,Lake                ,033,GEYSR,P,,,8,11N,8W,MD
03390694,Northern California Power Agency                                                                    ,CA-949          ,22F-1 ,ACTV,DST,NCPA ,1988,Lake                ,033,GEYSR,F,,,1,10N,8W,MD
03390695,"Geysers Power Company, LLC",PDC             ,2     ,ACTV,DST,CALP ,1988,Lake                ,033,GEYSR,P,,,22,11N,8W,MD
03390696,"Geysers Power Company, LLC",Moody Unit      ,2     ,ACTV,DST,CALP ,1988,Lake                ,033,GEYSR,P,,,22,11N,8W,MD
03390697,"Geysers Power Company, LLC",PDC             ,3     ,ACTV,DST,CALP ,1988,Lake                ,033,GEYSR,P,,,22,11N,8W,MD
03390698,"Geysers Power Company, LLC",Moody Unit      ,3     ,ACTV,DST,CALP ,1988,Lake                ,033,GEYSR,P,,,22,11N,8W,MD
03390699,"Geysers Power Company, LLC",CA-5636         ,36-22 ,ACTV,DST,CALP ,1988,Lake                ,033,GEYSR,F,,,22,11N,8W,MD
03390700,"Geysers Power Company, LLC",CA-5636         ,36A-22,ACTV,DST,CALP ,1988,Lake                ,033,GEYSR,F,,,22,11N,8W,MD
03390701,Northern California Power Agency                                                                    ,CA-949          ,22G-1 ,ACTV,DST,NCPA ,1989,Lake                ,033,GEYSR,F,,,1,10N,8W,MD
03390702,"Geysers Power Company, LLC",Tocher          ,4     ,ACTV,DST,CALP ,1988,Lake                ,033,GEYSR,P,,,27,11N,8W,MD
03390703,Northern California Power Agency                                                                    ,CA-949          ,38H-1 ,ACTV,DST,NCPA ,1988,Lake                ,033,GEYSR,F,,,1,10N,8W,MD
03390706,"Geysers Power Company, LLC",Moody Unit      ,4     ,ACTV,DST,CALP ,1988,Lake                ,033,GEYSR,P,,,22,11N,8W,MD
03390708,"Geysers Power Company, LLC",Davies Estate   ,8     ,ACTV,DST,CALP ,1989,Lake                ,033,GEYSR,P,,,36,11N,8W,MD
03390710,"Geysers Power Company, LLC",CA-5636         ,36B-22,ACTV,DST,CALP ,1989,Lake                ,033,GEYSR,F,,,22,11N,8W,MD
03390711,"Geysers Power Company, LLC",CA-5636         ,68E-21,ACTV,DST,CALP ,1989,Lake                ,033,GEYSR,F,,,21,11N,8W,MD
03390719,Northern California Power Agency                                                                    ,CA-949          ,22H-1 ,ACTV,DST,NCPA ,1989,Lake                ,033,GEYSR,F,,,1,10N,8W,MD
03390720,"Geysers Power Company, LLC",CA-5636         ,87E-21,ACTV,DST,CALP ,1990,Lake                ,033,GEYSR,F,,,21,11N,8W,MD
03390721,"Geysers Power Company, LLC",CA-5636         ,87F-21,ACTV,DST,CALP ,1990,Lake                ,033,GEYSR,F,,,21,11N,8W,MD
03390722,,,,,,,,,,,,,,,,,
03390723,"Geysers Power Company, LLC",CA-5636         ,23E-22,ACTV,DST,CALP ,1991,Lake                ,033,GEYSR,F,,,22,11N,8W,MD
03390724,"Geysers Power Company, LLC",GD Horner State ,6     ,ACTV,DST,CALP ,1987,Lake                ,033,GEYSR,S,,,5,11N,8W,MD
03390725,"Geysers Power Company, LLC",CA-5636         ,68F-21,ACTV,DST,CALP ,1990,Lake                ,033,GEYSR,F,,,21,11N,8W,MD
03390726,"Geysers Power Company, LLC",Davies Estate   ,9     ,ACTV,DST,CALP ,1991,Lake                ,033,GEYSR,P,,,36,11N,8W,MD
03390727,"Geysers Power Company, LLC",Wolfe           ,1     ,ACTV,DST,CALP ,1991,Lake                ,033,GEYSR,P,,,26,11N,8W,MD
03390728,"Geysers Power Company, LLC",CA-5636         ,36C-22,ACTV,DST,CALP ,1991,Lake                ,033,GEYSR,F,,,22,11N,8W,MD
03390729,"Geysers Power Company, LLC",CA-5636         ,68G-21,ACTV,DST,CALP ,1991,Lake                ,033,GEYSR,F,,,21,11N,8W,MD
03390730,,,,,,,,,,,,,,,,,
03390731,"Geysers Power Company, LLC",CA-958          ,76A-35,ACTV,DST,CALP ,1992,Lake                ,033,GEYSR,F,,,35,11N,8W,MD
